Tarifabschluss TVöD 2023: Sozial- und Erziehungsdienst VKA ab 1, März 2024;;;;;;;;;;;;;;;;;;
;Stufe 1 (+ %);Stufe 1 (+ €);Stufe 1 (in €);Stufe 2 (+ %);Stufe 2 (+ €);Stufe 2 (in €);Stufe 3 (+ %);Stufe 3 (+ €);Stufe 3 (in €);Stufe 4 (+ %);Stufe 4 (+ €);Stufe 4 (in €);Stufe 5 (+ %);Stufe 5 (+ €);Stufe 5 (in €);Stufe 6 (+ %);Stufe 6 (+ €);Stufe 6 (in €)
 S 18 ;10,7412724987456;432,42;4458,2;10,6047006737713;438,34;4571,79;10,0213635379905;467,68;5134,51;9,66442529155312;489,68;5556,51;9,2234662996197;522,68;6189,53;8,99706970392076;542,84;6576,36
 S 17 ;11,2084475262633;414,29;4110,52;10,8190753732867;429,17;4395,96;10,2953776365698;453,01;4853,14;10,0213635379905;467,68;5134,51;9,55759053567581;497,01;5697,17;9,32690790440209;514,24;6027,75
 S 16 ;11,3345333985903;409,91;4026,38;10,9380355812821;424,41;4304,54;10,5557499053543;440,54;4614;10,1542527026759;460,34;4993,81;9,77687149841491;482,34;5415,82;9,57842853000869;495,54;5669,04
 S 15 ;11,5603234098775;402,49;3884,14;11,1517054068388;416,34;4149,76;10,7748728794492;431,01;4431,15;10,3991121038541;447,87;4754,68;9,89571180960635;475,01;5275,17;9,70862554552927;486,74;5500,22
 S 14 ;11,622326612447;400,56;3847,03;11,2100997253156;414,23;4109,38;10,7861165671223;430,53;4422,05;10,4148856624404;447,11;4740,1;10,0608253573003;465,45;5091,81;9,84178003123657;478,28;5337,97
 S 13 ;11,7776567860022;395,86;3756,97;11,3556325813604;409,19;4012,6;10,8642264062683;427,34;4360,8;10,5237719964477;442,01;4642,12;10,1542527026759;460,34;4993,81;9,9892769151557;469,51;5169,65
 S 12 ;11,7953659890087;395,35;3747,09;11,3720546450825;408,64;4002,01;10,8969948409176;426,03;4335,64;10,5363029017021;441,43;4631,04;10,1514450102507;460,5;4996,8;10,00561609406;468,56;5151,53
 S 11b ;11,8845675519473;392,76;3697,55;11,4553285652191;405,86;3948,84;11,1869057116367;415,07;4125,39;10,6004094744755;438,54;4575,55;10,220005145011;456,87;4927,22;10,0178572957973;467,87;5138,23
 S 11a ;12,0080069829774;389,32;3631,49;11,570673548595;402,17;3877,94;11,293870187357;411,29;4053;10,6882561227501;434,67;4501,47;10,2953776365698;453,01;4853,14;10,0868669214415;464,01;5064,15
 S 10 ;12,4917573223144;376,98;3394,81;11,8469498255324;393,84;3718,24;11,5671276993415;402,27;3879,97;10,8611472477437;427,46;4363,14;10,3964968300675;448,01;4757,25;10,0708826536802;464,88;5080,96
 S 9 ;12,543605184886;375,76;3371,39;12,0706406990577;387,61;3598,79;11,5928595354424;401,47;3864,55;11,0069450788075;421,73;4253,22;10,5480618782627;440,89;4620,71;10,2449818523632;455,58;4902,44
 S 8b ;12,543605184886;375,76;3371,39;12,0706406990577;387,61;3598,79;11,5928595354424;401,47;3864,55;11,0069450788075;421,73;4253,22;10,5480618782627;440,89;4620,71;10,2449818523632;455,58;4902,44
 S 8a ;12,6974597576076;372,24;3303,85;12,2145955251761;383,84;3526,31;11,7796567292554;395,8;3755,83;11,4167940215639;407,14;3973,29;11,1003174400951;418,22;4185,86;10,8020565294307;429,87;4409,39
 S 7 ;12,8889807181829;368,05;3223,59;12,3936566432744;379,35;3440,19;11,9621943450777;390,58;3655,7;11,5816750063412;401,81;3871,17;11,3245256143412;410,24;4032,82;10,9755907677775;422,94;4276,4
 S 4 ;13,2269842490561;361,18;3091,81;12,709145514369;371,97;3298,76;12,2941977697849;381,8;3487,33;12,0390973156234;388,48;3615,3;11,8139760362927;394,79;3736,51;11,4931036833375;404,64;3925,36
 S 3 ;13,7023258345287;352,48;2924,89;13,1531126337056;362,63;3119,62;12,7046129682112;372,08;3300,78;12,3364988643617;380,75;3467,12;12,180426846836;384,72;3543,23;12,0030326565332;389,46;3634,14
 S 2 ;14,3754889836711;341,76;2719,14;13,9722298067811;347,97;2838,41;13,6969857074594;352,57;2926,64;13,4178649695296;357,57;3022,45;13,1257679797615;363,19;3130,19;12,8539811442413;368,8;3237,95
