Tarifabschluss 2023: TVöD ab 1. März 2024 (Steigerung in Prozent);;;;;;
;Stufe 1;Stufe 2;Stufe 3;Stufe 4;Stufe 5;Stufe 6
EG 15;9,71;9,44;9,18;8,87;8,61;8,45
EG 14;10,14;9,85;9,51;9,2;8,9;8,72
EG 13;10,54;10,16;9,8;9,46;9,12;8,96
EG 12;11,12;10,59;10,09;9,63;9,2;9,03
EG 11;11,33;10,8;10,39;10,01;9,57;9,36
EG 10;11,54;11,09;10,66;10,25;9,87;9,76
EG 9c;11,72;11,3;10,89;10,52;10,17;9,94
EG 9b;12,13;11,68;11,42;10,78;10,46;10,13
EG 9a;12,37;11,95;11,58;10,9;10,77;10,46
EG 8;12,75;12,3;12,01;11,75;11,5;11,38
EG 7;13,22;12,63;12,33;12,04;11,79;11,67
EG 6;13,36;12,86;12,54;12,25;11,99;11,87
EG 5;13,69;13,16;12,84;12,52;12,26;12,13
EG 4;14,09;13,5;13,06;12,82;12,58;12,46
EG 3;14,22;13,57;13,43;13,12;12,9;12,71
EG 2;15,16;14,15;13,98;13,76;13,3;12,87
EG 1;;16,87;16,59;16,26;15,97;15,25
